"title","rate","cuisine","location","address","street","price_from","price_till","url"
"Warung Pasta",3.97,"Italia","Beji",,"Jl. Margonda Raya No. 518, Beji, Depok",50000,100000,"https://pergikuliner.com/restaurants/depok/warung-pasta-beji"
"Pancious",3.96,"Italia","Pantai Indah Kapuk","PIK Avenue, Lantai 2","Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",100000,200000,"https://pergikuliner.com/restaurants/jakarta/pancious-pantai-indah-kapuk"
"Dookki",3.99,"Korea","Slipi","Central Park, Lantai Lower Ground","Jl. Letjen S. Parman, Slipi, Jakarta Barat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/dookki-slipi"
"Toast Box",4.03,"Kafe, Singapura","Gandaria","Gandaria City, Lantai Ground","Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/toast-box-gandaria"
"Monokuro",4.1,"Kafe","Gading Serpong","Ruko Golden 8, Blok G8H No. 31","Jl. Ki Hajar Dewantara, Gading Serpong, Serpong, Tangerang",100000,200000,"https://pergikuliner.com/restaurants/tangerang/monokuro-gading-serpong"
"Sandjaja & Seafood",3.93,"Indonesia","Grogol",,"Jl. Dr. Susilo Raya No. 18A, Grogol, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/sandjaja-dan-seafood-grogol"
"Aloha Aina",4.5,"Barat","Cigadung",,"Jl. Cigadung Raya Barat No. 3, Cigadung, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/aloha-aina-cigadung"
"Grand Wing Heng",3.85,"China","Muara Karang",,"Jl. Muara Karang Raya Blok Z3 No. 60, Muara Karang, Penjaringan, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/grand-wing-heng-muara-karang"
"Abura Soba Yamatoten",3.92,"Jepang","Pantai Indah Kapuk","PIK Avenue, Lantai 2, Dotonbori Food Town","Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/abura-soba-yamatoten-pantai-indah-kapuk"
"Kitchenette",3.99,"Barat, Italia","Thamrin","Plaza Indonesia, Lantai 2","Jl. MH Thamrin, Thamrin, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/kitchenette-thamrin"
"Fore Coffee",3.97,"Kafe","Tegalsari","Tunjungan Plaza 6, Lantai 3","Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",0,50000,"https://pergikuliner.com/restaurants/surabaya/fore-coffee-tegalsari"
"Tiga Wonton",4.05,"China","Sukajadi","Paris Van Java, Lantai Ground (Resort Level)","Jl. Sukajadi No. 137 - 139, Sukajadi, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/tiga-wonton-sukajadi"
